"Batch", "n_neighbors = 1", "n_neighbors = 3", "n_neighbors = 5", "n_neighbors = 10", "n_neighbors = 20"
275,0.911133,0.915039,0.90918,0.922852,0.912109
276,0.914062,0.916016,0.907227,0.922852,0.916016
277,0.916016,0.920898,0.910156,0.927734,0.922852
278,0.918945,0.916992,0.916016,0.929688,0.924805
279,0.917969,0.916016,0.916992,0.930664,0.926758
280,0.917969,0.914062,0.917969,0.930664,0.925781
281,0.919922,0.918945,0.920898,0.9375,0.93457
282,0.916992,0.917969,0.912109,0.927734,0.933594
283,0.917969,0.922852,0.911133,0.927734,0.930664
284,0.917969,0.914062,0.90918,0.923828,0.929688
285,0.917969,0.915039,0.914062,0.924805,0.926758
286,0.916992,0.918945,0.920898,0.925781,0.925781
287,0.920898,0.929688,0.924805,0.93457,0.928711
288,0.923828,0.933594,0.935547,0.946289,0.944336
289,0.920898,0.930664,0.931641,0.949219,0.943359
290,0.919922,0.927734,0.930664,0.946289,0.935547
291,0.916016,0.925781,0.921875,0.949219,0.933594
292,0.911133,0.926758,0.929688,0.961914,0.939453
293,0.911133,0.927734,0.926758,0.963867,0.938477
294,0.918945,0.922852,0.920898,0.950195,0.932617
295,0.916992,0.925781,0.922852,0.949219,0.929688
296,0.911133,0.916992,0.917969,0.946289,0.930664
297,0.914062,0.917969,0.919922,0.947266,0.931641
298,0.915039,0.918945,0.917969,0.943359,0.931641
299,0.917969,0.924805,0.925781,0.94043,0.931641
300,0.917969,0.923828,0.928711,0.936523,0.929688
301,0.880117,0.882155,0.878359,0.885765,0.885195
